18 18
1 3 1.29099444873581
2 4 1.73205080756888
2 3 -0.596284793999944
3 2 -0.894427190999916
3 6 1.67332005306815
3 1 1.29099444873581
3 5 -1.15470053837925
4 7 2.00000000000000
4 2 1.03923048454133
4 6 -0.555492059863531
5 3 -1.15470053837925
5 8 1.52752523165195
6 4 -0.925820099772551
6 9 1.96396101212393
6 3 1.11554670204543
6 8 -0.843274042711568
7 10 2.23606797749979
7 4 1.14285714285714
7 9 -0.538748023761179
8 6 -1.26491106406735
8 12 1.89736659610103
8 5 1.52752523165195
8 11 -1.41421356237310
9 7 -0.942809041582063
9 13 2.21108319357027
9 6 1.17837660727436
9 12 -0.785584404849573
10 14 2.44948974278318
10 7 1.24225998749988
10 13 -0.529701438469774
11 8 -1.41421356237310
11 15 1.73205080756888
12 9 -1.30930734141595
12 16 2.17124059336724
12 8 1.26491106406735
12 15 -1.03279555898864
13 10 -0.953462589245592
13 17 2.43086217402199
13 9 1.26347611061158
13 16 -0.761904761904762
14 18 2.64575131106459
14 10 1.33608531424537
14 17 -0.524055776089376
15 12 -1.54919333848297
15 11 1.73205080756888
16 13 -1.33333333333333
16 12 1.30274435602034
17 14 -0.960768922830523
17 13 1.35047898556777
18 14 1.42463532134247
