5 10
1 2 0.316227766016838
1 7 -0.182574185835055
1 1 -0.730296743340221
1 3 0.886226925452758
1 6 -0.422577127364258
1 5 0.326598632371090
2 2 -0.571547606649408
2 4 0.886226925452758
2 7 -0.612825877028341
2 1 -0.0942809041582063
2 6 0.109108945117996
2 5 0.0421637021355784
3 2 0.119522860933439
3 1 -0.276026223736942
3 6 0.223606797749979
3 5 -0.617213399848368
3 8 0.886226925452758
4 2 -0.173205080756888
4 7 0.166666666666667
4 1 0.0666666666666667
4 6 -0.478340384882485
4 9 0.886226925452758
4 5 -0.149071198499986
5 2 0.104328106191460
5 7 -0.456773439802099
5 10 0.886226925452758
5 1 0.0401559067957889
5 6 -0.0650600048632355
5 5 -0.0359165349174119
