#x points: 24 #c points: 130
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.9973 0.00691703 0
0.04 -7.9858 0.0160861 0
0.04 -7.96514 0.0252318 0
0.04 -7.93536 0.0343206 0
0.04 -7.89653 0.0433307 0
0.04 -7.84873 0.0522412 0
0.04 -7.79208 0.0610316 0
0.04 -7.72671 0.0696817 0
0.04 -7.65277 0.0781715 0
0.04 -7.57043 0.0864814 0
0.04 -7.47988 0.0945925 0
0.04 -7.38132 0.102486 0
0.04 -7.27498 0.110144 0
0.04 -7.16112 0.117548 0
0.04 -7.03998 0.124682 0
0.04 -6.91185 0.13153 0
0.04 -6.77702 0.138074 0
0.04 -6.6358 0.144302 0
0.04 -6.48853 0.150197 0
0.04 -6.33552 0.155747 0
0.04 -6.17715 0.160939 0
0.04 -6.01377 0.16576 0
0.04 -5.84576 0.1702 0
0.04 -5.6735 0.174249 0
0.04 -5.49739 0.177897 0
0.04 -5.31784 0.181136 0
0.04 -5.13526 0.183958 0
0.04 -4.95007 0.186357 0.0000215885
0.04 -4.76269 0.188327 0.0000493277
0.04 -4.57356 0.189865 0.000109172
0.04 -4.38311 0.190965 0.000233283
0.04 -4.19177 0.191627 0.000479854
0.04 -4. 0.191847 0.000947561
0.04 -3.80823 0.191627 0.00179184
0.04 -3.61689 0.190965 0.00323746
0.04 -3.42644 0.189865 0.00557731
0.04 -3.23731 0.188327 0.00914364
0.04 -3.04993 0.186357 0.0142388
0.04 -2.86474 0.183958 0.0210206
0.04 -2.68216 0.181136 0.0293545
0.04 -2.50261 0.177897 0.0386681
0.04 -2.3265 0.174249 0.0478606
0.04 -2.15424 0.1702 0.0553222
0.04 -1.98623 0.16576 0.059099
0.04 -1.82285 0.160939 0.0571927
0.04 -1.66448 0.155747 0.0479373
0.04 -1.51147 0.150197 0.0303597
0.04 -1.3642 0.144302 0.00442393
0.04 -1.22298 0.138074 -0.0289075
0.04 -1.08815 0.13153 -0.0678097
0.04 -0.960023 0.124682 -0.109888
0.04 -0.838884 0.117548 -0.152547
0.04 -0.725016 0.110144 -0.193351
0.04 -0.618681 0.102486 -0.230297
0.04 -0.520123 0.0945925 -0.261972
0.04 -0.429568 0.0864814 -0.287577
0.04 -0.347226 0.0781715 -0.306841
0.04 -0.273285 0.0696817 -0.31985
0.04 -0.207916 0.0610316 -0.326792
0.04 -0.151269 0.0522412 -0.327575
0.04 -0.103474 0.0433307 -0.321137
0.04 -0.0646408 0.0343206 -0.303757
0.04 -0.0348589 0.0252318 -0.26391
0.04 -0.0141962 0.0160861 -0.16489
0.04 -0.00269561 0.00691703 0.0301338
0.04 0.00269561 0.00691703 0.389592
0.04 0.0141962 0.0160861 0.429224
0.04 0.0348589 0.0252318 0.435066
0.04 0.0646408 0.0343206 0.435856
0.04 0.103474 0.0433307 0.434036
0.04 0.151269 0.0522412 0.429472
0.04 0.207916 0.0610316 0.421431
0.04 0.273285 0.0696817 0.408988
0.04 0.347226 0.0781715 0.391215
0.04 0.429568 0.0864814 0.367352
0.04 0.520123 0.0945925 0.336968
0.04 0.618681 0.102486 0.300135
0.04 0.725016 0.110144 0.257562
0.04 0.838884 0.117548 0.210663
0.04 0.960023 0.124682 0.161518
