#x points: 9 #c points: 70
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.1 -7.99083 0.0235337 0
0.1 -7.95174 0.0546033 0
0.1 -7.88175 0.0852919 0
0.1 -7.78138 0.115317 0
0.1 -7.65142 0.14444 0
0.1 -7.49288 0.172434 0
0.1 -7.307 0.199077 0
0.1 -7.09524 0.224163 0
0.1 -6.85926 0.247495 0
0.1 -6.6009 0.268889 0
0.1 -6.32218 0.288179 0
0.1 -6.02529 0.305214 0
0.1 -5.71255 0.31986 0
0.1 -5.38641 0.332002 0
0.1 -5.04941 0.341547 0.0000137423
0.1 -4.7042 0.348418 0.0000634804
0.1 -4.35349 0.352562 0.000262217
0.1 -4. 0.353947 0.000950195
0.1 -3.64651 0.352562 0.00297198
0.1 -3.2958 0.348418 0.00791417
0.1 -2.95059 0.341547 0.0177267
0.1 -2.61359 0.332002 0.0329775
0.1 -2.28745 0.31986 0.050035
0.1 -1.97471 0.305214 0.0595978
0.1 -1.67782 0.288179 0.0495556
0.1 -1.3991 0.268889 0.011805
0.1 -1.14074 0.247495 -0.0518984
0.1 -0.904759 0.224163 -0.13001
0.1 -0.693 0.199077 -0.207056
0.1 -0.507123 0.172434 -0.270615
0.1 -0.348583 0.14444 -0.315074
0.1 -0.218619 0.115317 -0.341261
0.1 -0.11825 0.0852919 -0.353777
0.1 -0.0482569 0.0546033 -0.358166
0.1 -0.00917372 0.0235337 -0.359016
0.1 0.00917372 0.0235337 0.438801
0.1 0.0482569 0.0546033 0.437862
0.1 0.11825 0.0852919 0.433009
0.1 0.218619 0.115317 0.419165
0.1 0.348583 0.14444 0.39016
0.1 0.507123 0.172434 0.340776
0.1 0.693 0.199077 0.269812
0.1 0.904759 0.224163 0.182999
0.1 1.14074 0.247495 0.0935248
0.1 1.3991 0.268889 0.0181782
0.1 1.67782 0.288179 -0.0300277
0.1 1.97471 0.305214 -0.048243
0.1 2.28745 0.31986 -0.0442042
0.1 2.61359 0.332002 -0.0303555
0.1 2.95059 0.341547 -0.0166999
0.1 3.2958 0.348418 -0.00756484
0.1 3.64651 0.352562 -0.00286858
0.1 4. 0.353947 -0.000923429
0.1 4.35349 0.352562 -0.000256102
0.1 4.7042 0.348418 -0.0000622314
0.1 5.04941 0.341547 -0.0000135103
0.1 5.38641 0.332002 0
0.1 5.71255 0.31986 0
0.1 6.02529 0.305214 0
0.1 6.32218 0.288179 0
0.1 6.6009 0.268889 0
0.1 6.85926 0.247495 0
0.1 7.09524 0.224163 0
0.1 7.307 0.199077 0
0.1 7.49288 0.172434 0
0.1 7.65142 0.14444 0
0.1 7.78138 0.115317 0
0.1 7.88175 0.0852919 0
0.1 7.95174 0.0546033 0
0.1 7.99083 0.0235337 0
0.2 -7.99083 0.0235337 0
