#x points: 24 #c points: 70
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99083 0.0235337 0
0.04 -7.95174 0.0546033 0
0.04 -7.88175 0.0852919 0
0.04 -7.78138 0.115317 0
0.04 -7.65142 0.14444 0
0.04 -7.49288 0.172434 0
0.04 -7.307 0.199077 0
0.04 -7.09524 0.224163 0
0.04 -6.85926 0.247495 0
0.04 -6.6009 0.268889 0
0.04 -6.32218 0.288179 0
0.04 -6.02529 0.305214 0
0.04 -5.71255 0.31986 0
0.04 -5.38641 0.332002 0
0.04 -5.04941 0.341547 0
0.04 -4.7042 0.348418 0
0.04 -4.35349 0.352562 -0.0000155124
0.04 -4. 0.353947 -0.00008641
0.04 -3.64651 0.352562 -0.000361486
0.04 -3.2958 0.348418 -0.00117916
0.04 -2.95059 0.341547 -0.00299778
0.04 -2.61359 0.332002 -0.0057557
0.04 -2.28745 0.31986 -0.00745384
0.04 -1.97471 0.305214 -0.00283763
0.04 -1.67782 0.288179 0.0158529
0.04 -1.3991 0.268889 0.0550918
0.04 -1.14074 0.247495 0.115403
0.04 -0.904759 0.224163 0.189718
0.04 -0.693 0.199077 0.266335
0.04 -0.507123 0.172434 0.334128
0.04 -0.348583 0.14444 0.386442
0.04 -0.218619 0.115317 0.421965
0.04 -0.11825 0.0852919 0.443234
0.04 -0.0482569 0.0546033 0.45436
0.04 -0.00917372 0.0235337 0.459148
0.04 0.00917372 0.0235337 0.462796
0.04 0.0482569 0.0546033 0.472227
0.04 0.11825 0.0852919 0.48214
0.04 0.218619 0.115317 0.483405
0.04 0.348583 0.14444 0.466737
0.04 0.507123 0.172434 0.424785
0.04 0.693 0.199077 0.354997
0.04 0.904759 0.224163 0.262663
0.04 1.14074 0.247495 0.161764
0.04 1.3991 0.268889 0.0712013
0.04 1.67782 0.288179 0.00694283
0.04 1.97471 0.305214 -0.0253583
0.04 2.28745 0.31986 -0.0317487
0.04 2.61359 0.332002 -0.0244404
0.04 2.95059 0.341547 -0.0142612
0.04 3.2958 0.348418 -0.0066937
0.04 3.64651 0.352562 -0.00259854
0.04 4. 0.353947 -0.000850405
0.04 4.35349 0.352562 -0.000238716
0.04 4.7042 0.348418 -0.0000585393
0.04 5.04941 0.341547 -0.0000127991
0.04 5.38641 0.332002 0
0.04 5.71255 0.31986 0
0.04 6.02529 0.305214 0
0.04 6.32218 0.288179 0
0.04 6.6009 0.268889 0
0.04 6.85926 0.247495 0
0.04 7.09524 0.224163 0
0.04 7.307 0.199077 0
0.04 7.49288 0.172434 0
0.04 7.65142 0.14444 0
0.04 7.78138 0.115317 0
0.04 7.88175 0.0852919 0
0.04 7.95174 0.0546033 0
0.04 7.99083 0.0235337 0
0.08 -7.99083 0.0235337 0
0.08 -7.95174 0.0546033 0
0.08 -7.88175 0.0852919 0
0.08 -7.78138 0.115317 0
0.08 -7.65142 0.14444 0
0.08 -7.49288 0.172434 0
0.08 -7.307 0.199077 0
0.08 -7.09524 0.224163 0
0.08 -6.85926 0.247495 0
0.08 -6.6009 0.268889 0
0.08 -6.32218 0.288179 0
0.08 -6.02529 0.305214 0
0.08 -5.71255 0.31986 0
0.08 -5.38641 0.332002 0
0.08 -5.04941 0.341547 0
0.08 -4.7042 0.348418 0
0.08 -4.35349 0.352562 0
0.08 -4. 0.353947 -0.0000361315
0.08 -3.64651 0.352562 -0.000204944
0.08 -3.2958 0.348418 -0.0007689
0.08 -2.95059 0.341547 -0.00211037
0.08 -2.61359 0.332002 -0.00421663
0.08 -2.28745 0.31986 -0.00544334
0.08 -1.97471 0.305214 -0.00126322
0.08 -1.67782 0.288179 0.0152256
0.08 -1.3991 0.268889 0.0500031
0.08 -1.14074 0.247495 0.10385
0.08 -0.904759 0.224163 0.170658
0.08 -0.693 0.199077 0.239943
0.08 -0.507123 0.172434 0.301556
0.08 -0.348583 0.14444 0.349298
0.08 -0.218619 0.115317 0.381823
0.08 -0.11825 0.0852919 0.401337
0.08 -0.0482569 0.0546033 0.411549
0.08 -0.00917372 0.0235337 0.415938
0.08 0.00917372 0.0235337 0.417784
0.08 0.0482569 0.0546033 0.421876
0.08 0.11825 0.0852919 0.427676
0.08 0.218619 0.115317 0.429492
0.08 0.348583 0.14444 0.418365
0.08 0.507123 0.172434 0.385566
0.08 0.693 0.199077 0.326678
0.08 0.904759 0.224163 0.245132
0.08 1.14074 0.247495 0.153301
0.08 1.3991 0.268889 0.069062
0.08 1.67782 0.288179 0.00818677
0.08 1.97471 0.305214 -0.0230741
0.08 2.28745 0.31986 -0.0297627
0.08 2.61359 0.332002 -0.0231775
0.08 2.95059 0.341547 -0.0136208
0.08 3.2958 0.348418 -0.00642594
0.08 3.64651 0.352562 -0.00250453
0.08 4. 0.353947 -0.00082227
0.08 4.35349 0.352562 -0.00023143
0.08 4.7042 0.348418 -0.0000568783
0.08 5.04941 0.341547 -0.0000124593
0.08 5.38641 0.332002 0
0.08 5.71255 0.31986 0
0.08 6.02529 0.305214 0
0.08 6.32218 0.288179 0
0.08 6.6009 0.268889 0
0.08 6.85926 0.247495 0
0.08 7.09524 0.224163 0
0.08 7.307 0.199077 0
0.08 7.49288 0.172434 0
0.08 7.65142 0.14444 0
0.08 7.78138 0.115317 0
0.08 7.88175 0.0852919 0
0.08 7.95174 0.0546033 0
0.08 7.99083 0.0235337 0
0.12 -7.99083 0.0235337 0
0.12 -7.95174 0.0546033 0
0.12 -7.88175 0.0852919 0
0.12 -7.78138 0.115317 0
0.12 -7.65142 0.14444 0
0.12 -7.49288 0.172434 0
0.12 -7.307 0.199077 0
0.12 -7.09524 0.224163 0
0.12 -6.85926 0.247495 0
0.12 -6.6009 0.268889 0
0.12 -6.32218 0.288179 0
0.12 -6.02529 0.305214 0
0.12 -5.71255 0.31986 0
0.12 -5.38641 0.332002 0
0.12 -5.04941 0.341547 0
0.12 -4.7042 0.348418 0
0.12 -4.35349 0.352562 0.0000118328
