#x points: 9 #c points: 130
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.1 -7.9973 0.00691703 0
0.1 -7.9858 0.0160861 0
0.1 -7.96514 0.0252318 0
0.1 -7.93536 0.0343206 0
0.1 -7.89653 0.0433307 0
0.1 -7.84873 0.0522412 0
0.1 -7.79208 0.0610316 0
0.1 -7.72671 0.0696817 0
0.1 -7.65277 0.0781715 0
0.1 -7.57043 0.0864814 0
0.1 -7.47988 0.0945925 0
0.1 -7.38132 0.102486 0
0.1 -7.27498 0.110144 0
0.1 -7.16112 0.117548 0
0.1 -7.03998 0.124682 0
0.1 -6.91185 0.13153 0
0.1 -6.77702 0.138074 0
0.1 -6.6358 0.144302 0
0.1 -6.48853 0.150197 0
0.1 -6.33552 0.155747 0
0.1 -6.17715 0.160939 0
0.1 -6.01377 0.16576 0
0.1 -5.84576 0.1702 0
0.1 -5.6735 0.174249 0
0.1 -5.49739 0.177897 0
0.1 -5.31784 0.181136 0
0.1 -5.13526 0.183958 0
0.1 -4.95007 0.186357 0.0000216356
0.1 -4.76269 0.188327 0.00004944
0.1 -4.57356 0.189865 0.000109433
0.1 -4.38311 0.190965 0.000233867
0.1 -4.19177 0.191627 0.000481118
0.1 -4. 0.191847 0.000950195
0.1 -3.80823 0.191627 0.00179711
0.1 -3.61689 0.190965 0.00324759
0.1 -3.42644 0.189865 0.00559591
0.1 -3.23731 0.188327 0.00917631
0.1 -3.04993 0.186357 0.0142936
0.1 -2.86474 0.183958 0.0211081
0.1 -2.68216 0.181136 0.0294876
0.1 -2.50261 0.177897 0.0388606
0.1 -2.3265 0.174249 0.0481248
0.1 -2.15424 0.1702 0.0556656
0.1 -1.98623 0.16576 0.0595196
0.1 -1.82285 0.160939 0.0576746
0.1 -1.66448 0.155747 0.0484467
0.1 -1.51147 0.150197 0.0308416
0.1 -1.3642 0.144302 0.00480086
0.1 -1.22298 0.138074 -0.0287358
0.1 -1.08815 0.13153 -0.0679652
0.1 -0.960023 0.124682 -0.110514
0.1 -0.838884 0.117548 -0.153811
0.1 -0.725016 0.110144 -0.195446
0.1 -0.618681 0.102486 -0.233456
0.1 -0.520123 0.0945925 -0.266488
0.1 -0.429568 0.0864814 -0.293839
0.1 -0.347226 0.0781715 -0.315401
0.1 -0.273285 0.0696817 -0.331536
0.1 -0.207916 0.0610316 -0.342932
0.1 -0.151269 0.0522412 -0.350451
0.1 -0.103474 0.0433307 -0.355007
0.1 -0.0646408 0.0343206 -0.357467
0.1 -0.0348589 0.0252318 -0.358588
0.1 -0.0141962 0.0160861 -0.358972
0.1 -0.00269561 0.00691703 -0.359003
0.1 0.00269561 0.00691703 0.438833
0.1 0.0141962 0.0160861 0.438752
0.1 0.0348589 0.0252318 0.438328
0.1 0.0646408 0.0343206 0.437089
0.1 0.103474 0.0433307 0.434369
0.1 0.151269 0.0522412 0.429332
0.1 0.207916 0.0610316 0.421014
0.1 0.273285 0.0696817 0.4084
0.1 0.347226 0.0781715 0.390521
0.1 0.429568 0.0864814 0.366595
0.1 0.520123 0.0945925 0.336182
0.1 0.618681 0.102486 0.299347
0.1 0.725016 0.110144 0.256793
0.1 0.838884 0.117548 0.209932
0.1 0.960023 0.124682 0.160842
0.1 1.08815 0.13153 0.112104
0.1 1.22298 0.138074 0.0665066
0.1 1.3642 0.144302 0.0266638
0.1 1.51147 0.150197 -0.00538179
0.1 1.66448 0.155747 -0.0284785
0.1 1.82285 0.160939 -0.0425247
0.1 1.98623 0.16576 -0.0484209
0.1 2.15424 0.1702 -0.0478274
0.1 2.3265 0.174249 -0.0427963
0.1 2.50261 0.177897 -0.0353777
0.1 2.68216 0.181136 -0.0273009
0.1 2.86474 0.183958 -0.0197902
0.1 3.04993 0.186357 -0.0135315
0.1 3.23731 0.188327 -0.00875344
0.1 3.42644 0.189865 -0.00537073
0.1 3.61689 0.190965 -0.00313244
0.1 3.80823 0.191627 -0.00174052
0.1 4. 0.191847 -0.000923429
0.1 4.19177 0.191627 -0.000468915
0.1 4.38311 0.190965 -0.000228494
0.1 4.57356 0.189865 -0.000107143
0.1 4.76269 0.188327 -0.000048493
0.1 4.95007 0.186357 -0.0000212544
0.1 5.13526 0.183958 0
0.1 5.31784 0.181136 0
0.1 5.49739 0.177897 0
0.1 5.6735 0.174249 0
0.1 5.84576 0.1702 0
0.1 6.01377 0.16576 0
0.1 6.17715 0.160939 0
0.1 6.33552 0.155747 0
0.1 6.48853 0.150197 0
0.1 6.6358 0.144302 0
0.1 6.77702 0.138074 0
0.1 6.91185 0.13153 0
0.1 7.03998 0.124682 0
0.1 7.16112 0.117548 0
0.1 7.27498 0.110144 0
0.1 7.38132 0.102486 0
0.1 7.47988 0.0945925 0
0.1 7.57043 0.0864814 0
0.1 7.65277 0.0781715 0
0.1 7.72671 0.0696817 0
0.1 7.79208 0.0610316 0
0.1 7.84873 0.0522412 0
0.1 7.89653 0.0433307 0
0.1 7.93536 0.0343206 0
0.1 7.96514 0.0252318 0
0.1 7.9858 0.0160861 0
0.1 7.9973 0.00691703 0
0.2 -7.9973 0.00691703 0
0.2 -7.9858 0.0160861 0
0.2 -7.96514 0.0252318 0
0.2 -7.93536 0.0343206 0
0.2 -7.89653 0.0433307 0
0.2 -7.84873 0.0522412 0
0.2 -7.79208 0.0610316 0
0.2 -7.72671 0.0696817 0
0.2 -7.65277 0.0781715 0
0.2 -7.57043 0.0864814 0
0.2 -7.47988 0.0945925 0
0.2 -7.38132 0.102486 0
0.2 -7.27498 0.110144 0
0.2 -7.16112 0.117548 0
0.2 -7.03998 0.124682 0
0.2 -6.91185 0.13153 0
0.2 -6.77702 0.138074 0
0.2 -6.6358 0.144302 0
0.2 -6.48853 0.150197 0
0.2 -6.33552 0.155747 0
0.2 -6.17715 0.160939 0
0.2 -6.01377 0.16576 0
0.2 -5.84576 0.1702 0
0.2 -5.6735 0.174249 0
0.2 -5.49739 0.177897 0
0.2 -5.31784 0.181136 0
0.2 -5.13526 0.183958 0
0.2 -4.95007 0.186357 0.0000216356
0.2 -4.76269 0.188327 0.00004944
0.2 -4.57356 0.189865 0.000109433
0.2 -4.38311 0.190965 0.000233867
0.2 -4.19177 0.191627 0.000481118
0.2 -4. 0.191847 0.000950195
0.2 -3.80823 0.191627 0.00179711
0.2 -3.61689 0.190965 0.00324759
0.2 -3.42644 0.189865 0.00559591
0.2 -3.23731 0.188327 0.00917631
0.2 -3.04993 0.186357 0.0142936
0.2 -2.86474 0.183958 0.0211081
0.2 -2.68216 0.181136 0.0294876
0.2 -2.50261 0.177897 0.0388606
0.2 -2.3265 0.174249 0.0481248
0.2 -2.15424 0.1702 0.0556656
0.2 -1.98623 0.16576 0.0595196
0.2 -1.82285 0.160939 0.0576746
0.2 -1.66448 0.155747 0.0484467
0.2 -1.51147 0.150197 0.0308416
0.2 -1.3642 0.144302 0.00480086
0.2 -1.22298 0.138074 -0.0287358
0.2 -1.08815 0.13153 -0.0679652
0.2 -0.960023 0.124682 -0.110514
0.2 -0.838884 0.117548 -0.153811
0.2 -0.725016 0.110144 -0.195446
0.2 -0.618681 0.102486 -0.233456
0.2 -0.520123 0.0945925 -0.266488
0.2 -0.429568 0.0864814 -0.293839
0.2 -0.347226 0.0781715 -0.315401
0.2 -0.273285 0.0696817 -0.331536
0.2 -0.207916 0.0610316 -0.342932
0.2 -0.151269 0.0522412 -0.350451
0.2 -0.103474 0.0433307 -0.355007
0.2 -0.0646408 0.0343206 -0.357467
0.2 -0.0348589 0.0252318 -0.358588
0.2 -0.0141962 0.0160861 -0.358972
0.2 -0.00269561 0.00691703 -0.359028
0.2 0.00269561 0.00691703 0.438834
0.2 0.0141962 0.0160861 0.438752
0.2 0.0348589 0.0252318 0.438328
0.2 0.0646408 0.0343206 0.437089
0.2 0.103474 0.0433307 0.434369
0.2 0.151269 0.0522412 0.429332
0.2 0.207916 0.0610316 0.421014
0.2 0.273285 0.0696817 0.4084
0.2 0.347226 0.0781715 0.390521
0.2 0.429568 0.0864814 0.366595
0.2 0.520123 0.0945925 0.336182
0.2 0.618681 0.102486 0.299347
0.2 0.725016 0.110144 0.256793
0.2 0.838884 0.117548 0.209932
0.2 0.960023 0.124682 0.160842
0.2 1.08815 0.13153 0.112104
0.2 1.22298 0.138074 0.0665066
0.2 1.3642 0.144302 0.0266638
0.2 1.51147 0.150197 -0.00538179
0.2 1.66448 0.155747 -0.0284785
0.2 1.82285 0.160939 -0.0425247
0.2 1.98623 0.16576 -0.0484209
0.2 2.15424 0.1702 -0.0478274
0.2 2.3265 0.174249 -0.0427963
0.2 2.50261 0.177897 -0.0353777
0.2 2.68216 0.181136 -0.0273009
0.2 2.86474 0.183958 -0.0197902
0.2 3.04993 0.186357 -0.0135315
0.2 3.23731 0.188327 -0.00875344
0.2 3.42644 0.189865 -0.00537073
0.2 3.61689 0.190965 -0.00313244
0.2 3.80823 0.191627 -0.00174052
0.2 4. 0.191847 -0.000923429
0.2 4.19177 0.191627 -0.000468915
0.2 4.38311 0.190965 -0.000228494
0.2 4.57356 0.189865 -0.000107143
0.2 4.76269 0.188327 -0.000048493
0.2 4.95007 0.186357 -0.0000212544
0.2 5.13526 0.183958 0
0.2 5.31784 0.181136 0
0.2 5.49739 0.177897 0
0.2 5.6735 0.174249 0
0.2 5.84576 0.1702 0
0.2 6.01377 0.16576 0
0.2 6.17715 0.160939 0
0.2 6.33552 0.155747 0
0.2 6.48853 0.150197 0
0.2 6.6358 0.144302 0
0.2 6.77702 0.138074 0
0.2 6.91185 0.13153 0
0.2 7.03998 0.124682 0
0.2 7.16112 0.117548 0
0.2 7.27498 0.110144 0
0.2 7.38132 0.102486 0
0.2 7.47988 0.0945925 0
0.2 7.57043 0.0864814 0
0.2 7.65277 0.0781715 0
0.2 7.72671 0.0696817 0
0.2 7.79208 0.0610316 0
0.2 7.84873 0.0522412 0
0.2 7.89653 0.0433307 0
0.2 7.93536 0.0343206 0
0.2 7.96514 0.0252318 0
0.2 7.9858 0.0160861 0
0.2 7.9973 0.00691703 0
0.3 -7.9973 0.00691703 0
0.3 -7.9858 0.0160861 0
0.3 -7.96514 0.0252318 0
0.3 -7.93536 0.0343206 0
0.3 -7.89653 0.0433307 0
0.3 -7.84873 0.0522412 0
0.3 -7.79208 0.0610316 0
0.3 -7.72671 0.0696817 0
0.3 -7.65277 0.0781715 0
0.3 -7.57043 0.0864814 0
0.3 -7.47988 0.0945925 0
0.3 -7.38132 0.102486 0
0.3 -7.27498 0.110144 0
0.3 -7.16112 0.117548 0
0.3 -7.03998 0.124682 0
0.3 -6.91185 0.13153 0
0.3 -6.77702 0.138074 0
0.3 -6.6358 0.144302 0
0.3 -6.48853 0.150197 0
0.3 -6.33552 0.155747 0
0.3 -6.17715 0.160939 0
0.3 -6.01377 0.16576 0
0.3 -5.84576 0.1702 0
0.3 -5.6735 0.174249 0
0.3 -5.49739 0.177897 0
0.3 -5.31784 0.181136 0
0.3 -5.13526 0.183958 0
0.3 -4.95007 0.186357 0.0000216356
0.3 -4.76269 0.188327 0.00004944
0.3 -4.57356 0.189865 0.000109433
0.3 -4.38311 0.190965 0.000233867
0.3 -4.19177 0.191627 0.000481118
0.3 -4. 0.191847 0.000950195
0.3 -3.80823 0.191627 0.00179711
0.3 -3.61689 0.190965 0.00324759
0.3 -3.42644 0.189865 0.00559591
0.3 -3.23731 0.188327 0.00917631
0.3 -3.04993 0.186357 0.0142936
0.3 -2.86474 0.183958 0.0211081
0.3 -2.68216 0.181136 0.0294876
0.3 -2.50261 0.177897 0.0388606
0.3 -2.3265 0.174249 0.0481248
0.3 -2.15424 0.1702 0.0556656
0.3 -1.98623 0.16576 0.0595196
0.3 -1.82285 0.160939 0.0576746
0.3 -1.66448 0.155747 0.0484467
0.3 -1.51147 0.150197 0.0308416
0.3 -1.3642 0.144302 0.00480086
0.3 -1.22298 0.138074 -0.0287358
0.3 -1.08815 0.13153 -0.0679652
0.3 -0.960023 0.124682 -0.110514
0.3 -0.838884 0.117548 -0.153811
0.3 -0.725016 0.110144 -0.195446
0.3 -0.618681 0.102486 -0.233456
0.3 -0.520123 0.0945925 -0.266488
0.3 -0.429568 0.0864814 -0.293839
0.3 -0.347226 0.0781715 -0.315401
0.3 -0.273285 0.0696817 -0.331536
0.3 -0.207916 0.0610316 -0.342932
0.3 -0.151269 0.0522412 -0.350451
0.3 -0.103474 0.0433307 -0.355007
0.3 -0.0646408 0.0343206 -0.357467
0.3 -0.0348589 0.0252318 -0.358588
0.3 -0.0141962 0.0160861 -0.358972
0.3 -0.00269561 0.00691703 -0.359039
0.3 0.00269561 0.00691703 0.438834
0.3 0.0141962 0.0160861 0.438752
0.3 0.0348589 0.0252318 0.438328
0.3 0.0646408 0.0343206 0.437089
0.3 0.103474 0.0433307 0.434369
0.3 0.151269 0.0522412 0.429332
0.3 0.207916 0.0610316 0.421014
0.3 0.273285 0.0696817 0.4084
0.3 0.347226 0.0781715 0.390521
0.3 0.429568 0.0864814 0.366595
0.3 0.520123 0.0945925 0.336182
0.3 0.618681 0.102486 0.299347
0.3 0.725016 0.110144 0.256793
0.3 0.838884 0.117548 0.209932
0.3 0.960023 0.124682 0.160842
0.3 1.08815 0.13153 0.112104
0.3 1.22298 0.138074 0.0665066
0.3 1.3642 0.144302 0.0266638
0.3 1.51147 0.150197 -0.00538179
0.3 1.66448 0.155747 -0.0284785
0.3 1.82285 0.160939 -0.0425247
0.3 1.98623 0.16576 -0.0484209
0.3 2.15424 0.1702 -0.0478274
0.3 2.3265 0.174249 -0.0427963
0.3 2.50261 0.177897 -0.0353777
0.3 2.68216 0.181136 -0.0273009
0.3 2.86474 0.183958 -0.0197902
0.3 3.04993 0.186357 -0.0135315
0.3 3.23731 0.188327 -0.00875344
0.3 3.42644 0.189865 -0.00537073
0.3 3.61689 0.190965 -0.00313244
0.3 3.80823 0.191627 -0.00174052
0.3 4. 0.191847 -0.000923429
0.3 4.19177 0.191627 -0.000468915
0.3 4.38311 0.190965 -0.000228494
0.3 4.57356 0.189865 -0.000107143
0.3 4.76269 0.188327 -0.000048493
0.3 4.95007 0.186357 -0.0000212544
0.3 5.13526 0.183958 0
0.3 5.31784 0.181136 0
0.3 5.49739 0.177897 0
0.3 5.6735 0.174249 0
0.3 5.84576 0.1702 0
0.3 6.01377 0.16576 0
0.3 6.17715 0.160939 0
0.3 6.33552 0.155747 0
0.3 6.48853 0.150197 0
0.3 6.6358 0.144302 0
0.3 6.77702 0.138074 0
0.3 6.91185 0.13153 0
0.3 7.03998 0.124682 0
0.3 7.16112 0.117548 0
0.3 7.27498 0.110144 0
0.3 7.38132 0.102486 0
0.3 7.47988 0.0945925 0
0.3 7.57043 0.0864814 0
0.3 7.65277 0.0781715 0
